Reservation_No,DateMade_Short,Arrive_Date_Short,Nights,TotalRate,Room Type,Room,City,State,Zip Code,Rate_Type
377,5/8/2016,20/10/2016,3,330.3,Upscale King,112,Columbus,GA,31904,Best Available Rate
378,5/8/2016,6/8/2016,1,59.79,King,205,Bellevue,,98004,Expedia
379,5/8/2016,5/8/2016,2,148,Double ,210,,,,Best Available Rate
380,5/8/2016,21/08/2016,2,149.48,Double ,108,Bangkok,,N&#47;A,Booking.com
381,5/8/2016,14/08/2016,1,59.79,King,204,Bellevue,,98004,Expedia
382,5/8/2016,14/08/2016,1,59.79,King,202,Bellevue,,98004,Expedia
384,5/8/2016,5/8/2016,2,142.2,King,204,,,,Best Available Rate
387,5/8/2016,6/8/2016,1,79,King,107,Bellevue,,98004,Best Available Rate
388,5/8/2016,10/10/2016,5,352.25,Double ,210,Bellevue,,98004,Expedia
389,5/8/2016,12/8/2016,2,220.18,King,204,Bronx,,,Booking.com
390,5/8/2016,15/08/2016,2,118.3,Double ,206,Bellevue,,98004,Expedia
391,5/8/2016,27/08/2016,1,102,Sweetheart King,102,,,,Best Available Rate
395,6/8/2016,21/08/2016,1,74,Double ,106,Mason,OH,45040,Best Available Rate
396,6/8/2016,11/8/2016,2,179.78,Double ,101,Puteaux,,92800,Booking.com
399,6/8/2016,31/08/2016,1,159.58, , ,Porto Alegre,,90110-330,Booking.com
403,7/8/2016,7/8/2016,2,149.48,Double ,104,Mobile,,36608,Booking.com
406,7/8/2016,7/8/2016,1,49.69,King,107,Bellevue,,98004,Expedia
408,7/8/2016,8/8/2016,1,69,King,204,,,,Best Available Rate
409,7/8/2016,8/8/2016,1,44.64,Double ,206,Bellevue,,98004,Expedia
411,8/8/2016,9/8/2016,1,69,King,107,Greenville,SC,29615,Best Available Rate
412,8/8/2016,15/08/2016,2,134.68,King,204,Bellevue,,98004,Expedia
413,8/8/2016,9/8/2016,2,128,Double ,109,Jacksonville,FL,32244,Best Available Rate
414,8/8/2016,27/11/2016,1,67.42,Double ,106,Bellevue,,98004,Expedia
416,8/8/2016,4/9/2016,2,109.48,Premier King,110,Bellevue,,98004,Expedia
417,8/8/2016,8/8/2016,1,44.64,Double ,208,Tampa,FL,33611,Expedia
419,8/8/2016,8/8/2016,16,612,King,205,St. Petersburgh,Fl,33701,Best Available Rate
420,8/8/2016,8/8/2016,1,39.59,Double ,106,Tampa,FL,33615,Expedia
421,8/8/2016,16/08/2016,2,109.48,Double ,208,Bellevue,,98004,Expedia
422,8/8/2016,16/08/2016,2,109.48,Double ,210,Bellevue,,98004,Expedia
423,8/8/2016,8/8/2016,4,230,Double ,210,Lyons,GA,30436,Best Available Rate
425,8/8/2016,13/08/2016,1,114,Double ,108,,,,Best Available Rate
428,8/8/2016,21/10/2016,2,272,Upscale Jacuzzi King,111,New York,NY,11236,Best Available Rate
429,8/8/2016,11/8/2016,1,39.59,King,103,Bellevue,,98004,Expedia
430,9/8/2016,9/8/2016,1,39.59,Double ,106,Tampa,FL,33615,Expedia
431,9/8/2016,12/8/2016,6,442,Double ,209,Bellevue,,98004,Expedia
475,11/8/2016,11/8/2016,1,59,King,207,Jacksonville,FL,32216,Best Available Rate
435,9/8/2016,9/8/2016,1,42.62,King,201,Bellevue,,98004,Expedia
600,20/08/2016,24/08/2016,1,68,Double ,101,Lehigh Acres,FL,33936,Best Available Rate
438,9/8/2016,9/8/2016,1,39.59,Double ,206,Raeford,NC,28376,Expedia
440,9/8/2016,9/9/2016,1,64,Double ,210,Ocala,,34482,Best Available Rate
441,9/8/2016,9/8/2016,2,119.18,Double ,104,pregnana milanese,,20010,Booking.com
442,9/8/2016,9/8/2016,1,62.62,King,204,St. James City,FL,33956,Booking.com
443,9/8/2016,10/8/2016,1,74.74,Sweetheart King,102,Schleinikon,,8165,Booking.com
759,3/9/2016,3/9/2016,1,60,Double ,106,Santa Monica,CA,90405,Best Available Rate
451,10/8/2016,10/8/2016,1,39.59,Double ,106,Bellevue,,98004,Expedia
452,10/8/2016,10/8/2016,1,39.59,King,204,Bellevue,,98004,Expedia
453,10/8/2016,10/8/2016,1,39.59,Double ,206,Bellevue,,98004,Expedia
455,10/8/2016,2/9/2016,2,204,Sweetheart King,102,Daytona Beach,FL,32114,Best Available Rate
459,10/8/2016,10/8/2016,2,85.24,King,201,Bellevue,,98004,Expedia
460,10/8/2016,10/8/2016,1,42.62,Premier King,105,Bellevue,,98004,Expedia
461,10/8/2016,8/1/2017,1,78.02,Double ,206,Bellevue,,98004,Expedia
1272,12/10/2016,21/10/2016,1,106.2,Double ,209,Woodstock,Ga,30189,Best Available Rate
471,11/8/2016,11/8/2016,1,59,Double ,108,St Petersburg,,33712,Best Available Rate
464,10/8/2016,10/8/2016,1,42.62,King,103,Bellevue,,98004,Expedia
465,10/8/2016,10/8/2016,1,42.62,Premier King,110,Bellevue,,98004,Expedia
468,10/8/2016,10/8/2016,1,62,King,107,,,,Best Available Rate
472,11/8/2016,16/08/2016,1,85,Premier King,110,Jacksonville,FL,32223,Best Available Rate
2392,15/01/2017,9/2/2017,3,433.59,Double ,109,Everett,,,Best Available Rate
499,11/8/2016,16/08/2016,2,127.12,King,202,Bellevue,,98004,Expedia
500,11/8/2016,16/08/2016,2,127.12,Upscale King,112,Bellevue,,98004,Expedia
505,12/8/2016,12/8/2016,1,104,Double ,206,,,,Best Available Rate
506,12/8/2016,21/08/2016,1,54.74,Double ,109,Bellevue,,98004,Expedia
507,12/8/2016,12/8/2016,5,489.88,Sweetheart King,102,Highland Heights,,44143,Best Available Rate
508,12/8/2016,12/8/2016,1,85,King,103,,,,Best Available Rate
509,12/8/2016,12/8/2016,1,79,Double ,106,,,,Best Available Rate
510,12/8/2016,1/2/2017,1,103,Double ,210,Oakdale,MN,55128,Best Available Rate
511,12/8/2016,12/8/2016,1,79,King,107,,,,Best Available Rate
513,13/08/2016,23/08/2016,1,54.74,Double ,106,Boca Raton,FL,33428,Expedia
515,13/08/2016,13/08/2016,1,84,Double ,208,Summerfield,Fl,34491,Best Available Rate
516,13/08/2016,13/08/2016,1,89,King,202,Tampa,Fl,33610,Best Available Rate
517,13/08/2016,26/08/2016,2,127.26,Double ,106,Bellevue,,98004,Expedia
518,13/08/2016,13/08/2016,1,63.63,Double ,106,Bellevue,,98004,Expedia
519,13/08/2016,1/9/2016,5,415,King,201,Ellisville,MO,63021,Best Available Rate
730,31/08/2016,31/08/2016,1,69,King,202,Zehphyrhills,FL,33453,Best Available Rate
521,13/08/2016,14/08/2016,1,79,King,107,,,,Military Per Diem Rate
523,13/08/2016,13/08/2016,1,84,Double ,210,,,,Best Available Rate
524,13/08/2016,14/08/2016,2,149.48,Double ,106,Conyers,,30094,Booking.com
526,14/08/2016,20/08/2016,7,432.32,Premier King,105,Bellevue,,98004,Expedia
528,14/08/2016,14/08/2016,1,69,Double ,108,,,,Best Available Rate
530,14/08/2016,18/08/2016,2,158,King,103,,,,Best Available Rate
531,14/08/2016,14/08/2016,1,79,King,207,,,,Best Available Rate
532,14/08/2016,20/08/2016,1,98,Sweetheart King,102,Daytona Beach,FL,32114,Best Available Rate
533,14/08/2016,7/9/2016,1,79.79,King,202,Loveland,,,Booking.com
534,14/08/2016,27/08/2016,1,84,King,103,,,,Best Available Rate
535,15/08/2016,14/08/2016,1,59,Double ,208,,,,Best Available Rate
536,15/08/2016,15/08/2016,4,316,King,107,,,,Best Available Rate
555,17/08/2016,17/08/2016,1,84,Premier King,110,Largo,FL,33773,Best Available Rate
538,15/08/2016,15/08/2016,1,75.75,Double ,108,CABA,,1416,Booking.com
539,15/08/2016,19/08/2016,1,78,Double ,109,,,,Best Available Rate
540,15/08/2016,15/08/2016,1,85,Upscale King,112,Kissimmee,FL,34744,Best Available Rate
541,15/08/2016,15/08/2016,1,78,King,207,,,,Best Available Rate
542,15/08/2016,14/09/2016,1,74,Double ,206,Bozeman,MT,59715,Best Available Rate
543,16/08/2016,27/08/2016,1,63.75,Double ,101,Bellevue,,98004,Expedia
544,16/08/2016,17/08/2016,1,77,Double ,106,Sebring,,33872,Booking.com
546,16/08/2016,17/08/2016,1,94,Sweetheart King,102,,,,Best Available Rate
551,16/08/2016,17/11/2016,1,94,Upscale King,112,New York,NY,10019,Best Available Rate
552,16/08/2016,26/08/2016,1,98,Sweetheart King,102,Tampa,FL,33647,Best Available Rate
553,17/08/2016,23/08/2016,4,228.75,Double ,208,Carmel,NY,10512,Expedia
554,17/08/2016,19/08/2016,1,87,Double ,208,fort myers,,33966,Booking.com
611,21/08/2016,22/08/2016,1,77,Premier King,110,Panama City Beach,,,Best Available Rate
557,17/08/2016,10/9/2016,1,102,Upscale King,112,,,,Best Available Rate
558,17/08/2016,18/08/2016,1,69,Double ,104,Hudson,FL,34667,Best Available Rate
559,17/08/2016,10/9/2016,1,89,King,204,,,,Best Available Rate
562,17/08/2016,23/08/2016,1,68,Double ,108,Naples,FL,34104,Best Available Rate
563,17/08/2016,7/9/2016,2,148,Double ,209,Tampa,FL,33629,Best Available Rate
565,17/08/2016,21/08/2016,5,364.5,Upscale King,112,Miami,Fl,33138,Best Available Rate
566,17/08/2016,9/11/2016,4,430,Double ,210,Riverside,CA,92501,Best Available Rate
567,18/08/2016,23/08/2016,3,292.5,Rubideaux Condo,Rub #4,Bellevue,,98004,Expedia
569,18/08/2016,19/08/2016,1,60.75,Double ,106,Bellevue,,98004,Expedia
570,18/08/2016,19/08/2016,1,94,Sweetheart King,102,,,,Best Available Rate
571,18/08/2016,18/08/2016,1,62,Double ,210,Solothurn,,,Booking.com
